"geometry_text","geometry","path_id","image_point_id","order_id","safety_avg","attractiveness_avg","business_avg","safety_stddev","attractiveness_stddev","safety_attr_diff","safety_max_diff","attr_max_diff","attractiveness_reason","safety_reason","rating_count","male_ratings","female_ratings","male_safety_avg","female_safety_avg","age_19_39_safety_avg","age_40_59_safety_avg","age_60_plus_safety_avg","age_19_39_safety_count","age_40_59_safety_count","age_60_plus_safety_count"
"POINT(953919.145 6461065.705)","0101000020110F0000A4703D4A7E1C2D4152B81E6DA2A55841",1,1483,26,3.6,3.0,2.60,0.89,0.71,0.60,2,2,"A lot of cars and buildings |nothing is touching me|lots of foliage but lower value houses and lots of cars|seems a boring and sad area","Not safe for kids|The hotel|decent area and lots of visibility|traffic is well overlookable",5,4,1,3.50,4.00,3.00,4.00,NULL,2,3,0
"POINT(953925.679 6461096.212)","0101000020110F000054E3A55B8B1C2D417368910DAAA55841",1,1482,27,3.0,2.8,2.80,0.00,0.45,0.20,0,1,"Lots of grey buildings","Big road",5,2,3,3.00,3.00,3.00,3.00,NULL,2,3,0
"POINT(953933.983 6461126.291)","0101000020110F0000A8C64BF79B1C2D4177BE9F92B1A55841",1,1481,28,3.4,3.0,2.40,0.55,0.71,0.40,1,2,"lots of foliage but ugly flats and cars bring it down|park|Everything looks grey|I don't like this area","decent area and lots of visibility but lower standard housing so more likely to have crime|park|safe for crossing but not for kids|The hidden buildings",5,3,2,3.33,3.50,3.67,3.00,NULL,3,2,0
"POINT(953951.036 6461176.685)","0101000020110F00008D976E12BE1C2D413D0AD72BBEA55841",1,1515,30,3.0,2.7,3.00,0.00,0.58,0.33,0,1,"lots of foliage but ugly flats and cars|a lot of cars|Buikdings are not so attractive","decent area and lots of visibility but lower standard housing|good|Too much people in  this area",3,2,1,3.00,3.00,3.00,3.00,NULL,1,2,0
"POINT(953942.086 6461156.415)","0101000020110F00002731082CAC1C2D41295C8F1AB9A55841",1,1480,29,3.4,3.1,2.25,0.74,0.35,0.25,2,1,"dark;quiet|enviorment friendly with lessnoise","quiet;dull|security and pece full area ",8,4,3,3.25,3.33,2.67,3.75,NULL,3,4,0
"POINT(953979.657 6461266.044)","0101000020110F0000D34D6250F71C2D4160E5D082D4A55841",1,1512,33,3.6,2.9,2.13,0.74,0.83,0.75,2,2,"greenness|trees; ugly buildings;|multi-storey buildings, wide thoroughfare; dated architecture","open|open; big pavements; clean; |residential; thoroughfare",8,5,2,3.40,3.50,3.25,3.67,NULL,4,3,0
"POINT(953969.832 6461236.442)","0101000020110F00006DE7FBA9E31C2D415EBA491CCDA55841",1,1513,32,3.0,3.3,2.67,0.00,0.58,0.33,0,1,"park and trees|lots of foliage but lots of ugly cars and flats|Too much appartments. ","place to play for kids|decent area and lots of visibility but lower standard housing|I think that about all this area",3,2,1,3.00,3.00,3.00,3.00,NULL,1,2,0
"POINT(953958.342 6461207.228)","0101000020110F0000BE9F1AAFCC1C2D41508D97CEC5A55841",1,1514,31,3.6,3.0,3.00,0.52,0.76,0.63,1,2,"gardens; greenery;|looks ok some nice parts but also some dull buildings","Medium-density; wide roads|lot properties here and spaces not very connected",8,4,4,3.50,3.75,3.75,3.50,NULL,4,4,0
"POINT(953989.922 6461295.427)","0101000020110F00004E6210D80B1D2D41CFF753DBDBA55841",1,1511,34,3.1,2.3,2.86,0.69,0.49,0.85,2,1,"dislike flat buildings ; looks run down|the road is looking dirty|sad area, cube houses are not comfortable to me|foliage is nice but housing standards are low|big buildings; gray; similar|It isn't very chic","bus stops nearby ; limited street lights|place for people to walk and wait|more traffic here|decent area and lots of visibility but lower standard of housing|crowd; habitations|There s too much people in this area",7,3,4,3.00,3.25,3.00,3.33,NULL,4,3,0
"POINT(954001.598 6461324.246)","0101000020110F0000560E2D32231D2D41C976BE0FE3A55841",1,1510,35,3.2,2.6,3.50,0.91,1.15,0.56,3,4,"The housing all looks welcoming and it feels like a cosy neighbourhood|ugly|ugly|greenery|at least there's some infrastructure. But  drab architecture.|good for business as there are not much business shops|ugly|mainly shops and work areas , few homes but not a nice living area","no signs of graffiti, street looks well kept|isolated|buildings; people|streetlights|Still don't know about that, but looks a bit like the banlieue youth might hang out at night|less congested area |isolated",16,4,10,3.50,3.00,3.11,3.20,NULL,9,5,0
"POINT(954014.073 6461352.727)","0101000020110F0000894160253C1D2D41022B872EEAA55841",1,1509,36,3.7,2.6,3.67,0.90,0.99,1.07,3,3,"Grey old buildings|some foliage but some ugly buildings|the area looks grey and old|compared to the detached houses, this is a bit less attractive in the same area|buildings|not attractive more blocks flats and no nice scenery|busy; friendly; community; mid-rise buildings|possible more noise|old|This area looks poor|very bare and nothing attractive here","Big road; lots of cars|decent area and lots of visibility but lower standard of housing|place for people to buy things|pleasant looking residential area|buildings|built up area plenty of people around would feel safe|spacious; no graffiti|sightlines; streetlamps; parking; clean|clean|abandoned|More space",15,6,8,3.83,3.63,3.20,3.90,NULL,5,10,0
"POINT(954103.348 6460904.845)","0101000020110F0000560E2DB2EE1D2D41E17A14367AA55841",1,1494,15,3.8,3.0,2.38,0.46,0.76,0.75,1,2,"The bus stop is a little plus, Otherwise, still boring.|Very nice place.|buildings|Older-looking buildings; cleanliness|quiet area...|boring; suburbia","Still, no clue. Traffic seems to be limited, that's a plus.|Residential neighborhood|clean; orderly |Quiet neighborhood; well-maintained roads|although large street, it seems calm, walkways separate from street|residential; clean",8,4,4,3.75,3.75,4.00,3.50,NULL,4,4,0
"POINT(954102.148 6460874.649)","0101000020110F0000F0A7C64BEC1D2D414C3789A972A55841",1,1495,14,3.8,3.2,2.80,0.45,1.10,0.60,1,2,"nice properties and looks a peaceful area|lots of greenery, some nice houses but ugly flats|Same : the buildings. ","average residential area , well set out and well maintained looks pretty safe|ok area and lots of visibility|The buildings are less safety",5,1,4,4.00,3.75,4.00,3.67,NULL,2,3,0
"POINT(954103.419 6460843.515)","0101000020110F0000022B87D6EE1D2D418FC2F5E06AA55841",1,1496,13,4.4,4.0,2.00,0.52,0.76,0.38,1,2,"grenness|green|lots of greenery and nice houses|Well-maintained building and roads; nice architecture; attractive gardens|nice buildings; open; unattractive bus stop; unattractive phone line/internet boxes; |verges; vegetation; trees; open; good housing","nice residential area|openess|decent area and lots of visibility|Affluent neighborhood; safe-looking roads|open; nice neighbourhood; nice cars; street lights; |open; pleasant; expensive area; sightlines",8,3,3,4.33,4.33,4.00,4.67,NULL,3,3,0
"POINT(954104.051 6460812.372)","0101000020110F000008AC1C1AF01D2D4117D9CE1763A55841",1,1497,12,4.3,3.6,2.75,0.71,0.92,0.62,2,3,"some greenery and nice houses|Nothing disturb me|many houses; big road; dilapidated|clean ","decent area and lots of visibility|Still this quite residential houses|Big road; crossroads|public transport",8,2,6,4.50,4.17,4.00,4.67,NULL,5,3,0
"POINT(954102.333 6460781.309)","0101000020110F0000DBF97EAAEC1D2D41F0A7C6535BA55841",1,1498,11,4.1,3.7,2.43,0.69,0.95,0.43,2,3,"greenery ; big houses|road; traffic; greenery|lots of greenery and nice houses|Nice architecture; cleanliness; well-maintained roads |gardens; greenery; public transport present;","streetlights ; residential|residential; road; traffic; wealthy|decent area and lots of visibility|There are not to much people in this area|Well-taken care of neighborhood; looks affluent region|wide roads; low-density area; low traffic",7,2,5,4.50,4.00,4.00,4.25,NULL,3,4,0
"POINT(954098.491 6460750.968)","0101000020110F00001D5A64FBE41D2D4146B6F3BD53A55841",1,1499,10,4.1,3.5,2.25,0.83,0.76,0.63,2,2,"lots of greenery and nice houses|Only houses and garden, it isn't so bad. |kept well","decent area and lots of visibility|Everything looks to be quiet|looks quiet neighbourhood",8,5,3,4.00,4.33,4.00,4.20,NULL,3,5,0
"POINT(954107 6460738.228)","0101000020110F000000000000F61D2D41508D978E50A55841",1,1507,9,4.2,3.7,2.30,0.92,0.95,0.50,2,3,"works|open residential streets; vegetation; trees; well maintained|grennees; nice housing area|Quiet;Green;Cloudy|only houses and cars|greenery; well maintained houses|lots of greenery and nice houses","large avenue without too much traffic|streetlights; sightlines; open|safe residential area|Quiet;Residential|Quiet residential houses|no crossing or signs|spacious|decent area and lots of visibility",10,5,4,4.40,3.75,3.50,4.60,NULL,4,5,0
"POINT(954220.743 6460674.176)","0101000020110F0000FA7E6A7CD91E2D418195438B40A55841",1,1505,2,4.1,2.7,2.00,0.90,0.95,1.43,2,2,"not crowdy|nicer than downtown|some nice greenery but houses aren't that pretty|Space between houses|nothing really attractive here","seems peaceful|openess|relatively quiet looking residential area so low levels of crime against town environments|Quite residential houses|little dark and quiet",7,3,3,4.33,3.67,4.00,4.00,NULL,3,3,0
"POINT(954219.588 6460705.312)","0101000020110F000004560E2DD71E2D41D9CEF75348A55841",1,1504,3,4.8,3.9,2.63,0.46,0.64,0.87,1,2,"small housing complexes; grenness|quality housing; trees; vegetation|Aesthetic buildings; attractive gardens; clean street|plants and trees","clean residential area with nice houses|It looks like a nice area, houses are ok and cars are good models so not a very poor area|Nothing scare me. |homes; pavements; clean|Quiet neighborhood; well-taken care of; inhabited by families|it looks a good neighbourhood and looks safe, would feel comfortable here.|family neigborhoud|peaceful;small houses",8,4,3,4.75,4.67,4.33,5.00,NULL,3,4,0
"POINT(954191.361 6460744.788)","0101000020110F0000F4FDD4B89E1E2D418D976E3252A55841",1,1502,6,3.0,2.4,1.73,1.34,0.81,0.64,4,2,"lots of maintainance work|beautiful houses|ugly scaffolding but otherwise aesthetically pleasing|construction|the works are less pretty|Under reconstruction; view blocked by scaffold|very unnatractive parts look baron","looks abandoned|peaceful|decent area, lots of visibility|construction; brushes|Evrerything looks to be quite|Quiet neighborhood; scaffolds might fall|not a lot about means people can easily hide and not be seen , looks very quiet and not safe",11,5,5,3.00,2.80,2.83,3.20,NULL,6,5,0
"POINT(954217.963 6460736.516)","0101000020110F000004560EEDD31E2D41DD24062150A55841",1,1503,4,4.1,3.5,2.64,0.94,0.93,0.64,3,3,"nice trees and greenery|small houses|gardens, space...|Average looking street nothing especially attractive|looks lovely place|gardens; greenery; well-maintained;","looks like a decent area and lots of visibility |peaceful|Quite residential jouses|it looks a well lived area with plenty of residents and in good condition|quiet residential area|Low-density area; low traffic;",11,6,5,4.00,4.20,3.86,4.50,NULL,7,4,0
"POINT(954217.288 6460752.236)","0101000020110F00006ABC7493D21E2D41BE9F1A0F54A55841",1,1508,5,4.1,3.5,2.09,0.83,0.82,0.64,2,2,"quaint houses, leafy area|isolated|quaint houses, leafy area|grey buildings|residential; greenery|ugly","space; less crowded|Quiet residential houses|residential area|peaceful|decent area, lots of visibility|residential area|residential area|Crossroads; crane|residential; wealthy; maintained|no crossing",11,4,7,4.50,3.86,3.83,4.40,NULL,6,5,0
"POINT(954160.37 6460744.146)","0101000020110F0000D7A370BD601E2D416210580952A55841",1,1501,7,4.2,3.7,2.56,1.09,0.87,0.55,3,3,"Nice area, seems calm, lot of green areas|nice area|very tidy, even the crane does not spoil the area|gray; similiar; housing|a lot of cars","calm area, low traffic|decent area and lots of visibility|less visible than previous|it looks a very nice area and  although some work near it looks peaceful and a community|Quiet resiedntial houses|suburbs;  constructions; quiet|peaceful|no crossing or signs",9,5,4,4.20,4.25,3.75,4.60,NULL,4,5,0
"POINT(954129.26 6460745.048)","0101000020110F000052B81E85221E2D41986E124352A55841",1,1500,8,3.4,3.0,2.22,1.42,1.41,0.44,4,4,"Seems like a nice place to live|Houses and garden are not so bad; |sloppy no pattern and not attractive properties|lots of greenery and houses are nice quality|Still boring, and now with street on top|There's nice greenery and the houses look big and welcoming","Residential neighborhood|Everyything looks to be quite|a little spread out meaning chances of people being able to get around not seen and few off roads |no signs or crossing|decent area and lots of visibility|I don't know about safety|Still looks homely, nothing to worry about",9,5,4,3.60,3.25,3.20,3.75,NULL,5,4,0
"POINT(954218.342 6460642.785)","0101000020110F0000BE9F1AAFD41E2D41A4703DB238A55841",1,1506,1,4.1,3.5,1.95,0.64,1.18,0.69,2,4,"Beautiful landscapes in the front and back gardens.  Larger homes...|It seems like a nice and tidy area.|Looks like the kind of place would want to live|family friendly|residential; greenery; variety;|boring, residential, possibly gentrified","It's a Residential area, street is narrow and cars can't drive too fast |The area looks to be quite. Residential houses|It looks like a nice suburb.  Nice cars, lovely gardens.  Not a crime area.|It looks cozy there.|Homely, looks like a nice neighbourhood|residential; wealthy; maintained",22,7,14,4.43,3.93,4.08,4.22,NULL,13,9,0
"POINT(951251.496 6463831.574)","0101000020110F000046B6F3FDA6072D417F6ABCE455A85841",2,1534,20,3.9,3.7,3.47,0.74,0.59,0.14,2,2,"church; old buildings|traditional, antique,shops|construction; no green space|Beautiful church; well-maintained buildings; open businesses; cars parked neatly.|The stone building is very nice|More space. |church;no trees;|old architecture|city landmark","Church|cars around; shops; people|windows, shops, cars|church; residential buildings|Clean streets; open area; not too narrow; people around.|The streets are wide and look to be in a safe place|Maybe because we can more see the sky. |not that big traffic;church|no bike lane|Maybe becasuse we can more see the sky. |city landmark",15,5,10,4.00,3.80,3.69,5.00,NULL,13,2,0
"POINT(951275.403 6463851.384)","0101000020110F0000190456CED6072D41BC7493D85AA85841",2,1533,18,3.5,3.2,3.32,0.84,0.77,0.32,3,2,"nice |Same reason|nice buildings|Church; nice colours on buildings; clean pavements.|concrete, no trees, no flowers|I like the old building|nice old church|library|Construction work|works on the street; old style houses; |church is nice, well maintained buildings","I already entered this but it doesn't let me continue|Maybe the fact that there is the church|looks like a residential place|roadworks; narrow street; some people; open businesses.|clean; |lot of shops|Why should i be sacred in there. |Nothing looks horrible|It looks safe enough|well maintained; church|residential|Next to bank|center of the city; bussiness; big streets|no particulat concerns",28,9,17,3.78,3.35,3.35,4.50,NULL,23,4,0
"POINT(951477.915 6463995.644)","0101000020110F000048E17AD46B092D41C74B37E97EA85841",2,1525,9,3.4,2.6,3.36,0.74,0.76,0.79,3,3,"not so open;no trees|too much buildings|The building fronts are not very attractive and there is no much scenery|narrow street; no trees; no bike lane|narrow; don't love the buildings|Very gray and narrow. Probably very noisy too|parked cars and ugly buildings","small traffic; not so open|center of the city; bussiness; small street|The streets are well lit and there's enough activity to make it feel safe|trucks; a lot of cars|busy; small road|Many obscured visual lines. Pedestrians can unexpectedly come from behind cars.Street is also narrow|significant traffic",14,5,7,3.60,3.43,3.40,3.33,NULL,10,3,0
"POINT(951480.311 6464028.752)","0101000020110F00005A643B9F70092D419CC4203087A85841",2,1535,7,3.4,3.3,4.00,0.88,1.00,0.11,3,3,"lots of people|This is the entrance of the preety disctrict. |nothing out of the ordinary|to many cars, nice other shops|Not much greenery, very busy, traffic","busy road; well kept|central square|it looks small and suburban|bussy road, a lot of streets|On a busy main road, lots of traffic",9,5,4,3.60,3.25,3.38,4.00,NULL,8,1,0
"POINT(951472.123 6464041.34)","0101000020110F000023DBF93E60092D415C8FC2558AA85841",2,1520,6,3.9,3.6,3.71,1.07,0.98,0.29,3,3,"The building ahead are very nice|colorful houses|Different colours on buildings; patterns; not much life.|Busy street|the depart travel service is less pretty than the other part of the neighborhood. ","There are lots of buildings and activity in the immediate area|roundabout|Traffic; some crossing points; different roads joining; few places to rest. |Proximity to stores|All the neighborhood looks ti be savety",7,2,5,4.50,3.60,4.00,3.50,NULL,5,2,0
"POINT(951483.015 6464060.666)","0101000020110F00007B14AE0776092D4177BE9F2A8FA85841",2,1516,5,3.6,3.1,3.71,0.98,0.90,0.43,3,2,"On the circle, job opportunity, next to train station|no parking spots|art, roundabout, park, pretty houses|parks, shops, lively","The neighborhood has pretty colors|Next to the train station|too wide and empty at night|town centre, roundabout, near park|wide, light, ",7,4,3,3.50,3.67,3.33,5.00,NULL,6,1,0
"POINT(951531.429 6464040.889)","0101000020110F000054E3A5DBD6092D414260E5388AA85841",2,1521,3,3.3,3.3,3.55,0.90,0.90,0.00,3,3,"beautiful|plants; space|it looks to be quite. |traffic","open|people;space|it is more looking like a residential area and quite|zebra crossings; bike lane",11,4,6,3.50,3.17,3.13,4.00,NULL,8,2,0
"POINT(951496.675 6464057.216)","0101000020110F00009A99995991092D41AAF1D24D8EA85841",2,1519,4,3.6,3.0,3.60,0.84,0.67,0.60,3,2,"For beacuse i don't like the arrival of more imposing roads. |weather;road|difficult to cross|Awkward roundabout; busy landscape; dull colours. |Busy street|some green|Busy traffic|art; room; plants; square","There is no degradation and the fitted out part is pretty|clean;open|wide street|Lots of cars moving round the roundabout and no crossing points with lights. Not many people around.|Proximity to stores|a lot of cars|Busy area; businesses around; pedestrian crossings|open;visibility;pedestran crossings",10,1,7,5.00,3.43,3.50,5.00,NULL,8,1,0
"POINT(951489.587 6464022.991)","0101000020110F000096438B2C83092D41448B6CBF85A85841",2,1524,8,3.7,3.0,3.86,0.76,0.58,0.71,2,2,"Lots of different things; colours; different buildings; no green space. |This road drvie us to a part less commercial and less pretty. |roundabout ; buildings|Lots of different things; colours; different buildings; no green space. |Too much concrete but clean|Busy street|cute shops and houses","Public transport visible; crossing points; people around; lampposts.|Apart from the proximity of the road everything looks ok. |open space|Public transport visible; crossing points; people around; lampposts.|Not many people around which makes me feel a bit unsafe but clean and nice overall|Proximity to stores|busy street, bank",7,1,6,5.00,3.50,3.40,4.50,NULL,5,2,0
"POINT(951544.483 6464014.824)","0101000020110F0000A8C64BF7F0092D417F6ABCB483A85841",2,1522,2,4.2,3.5,4.30,0.79,0.97,0.70,2,3,"Shopping possibility|looks a little dirty|The colours are dull and the architecture is not particularly interesting.|nice benches and open path|close to bigger street|restaurant|The fact that it is open to the crossroads","Proximity to main street|wide street|People around. Seems pedestrianised so no cars. Good amount of space. No vandalism.|lots of space and benches|small street; not a lot cars|nice |center of the city; whealty; shops|This place is even better than the last one with more open space, and same reason, there is life in ",10,3,6,4.33,4.17,4.13,5.00,NULL,8,1,0
"POINT(951561.991 6463989.069)","0101000020110F00001D5A64FB130A2D41FA7E6A447DA85841",2,1523,1,4.1,3.8,4.63,0.64,0.77,0.25,2,3,"The place looks clean|lively place|It looks like a calm place to have a walk, there are trees and shops|pretty;trees;clean|It's designed for a walk|trees; bench","The place is alive with a lot of shops. |There are people around and businesses to ask for help. The pavements look good quality. No cars. |no cars; space|busy high street, bright, crowded|it's a low circulation street; good infrastructure (bench...)|Not much traffic. Wide pavements. Nice looking area so I don't feel there would be much crime.|nice district|no cars",32,12,17,4.17,4.06,4.04,4.40,NULL,26,5,0
"POINT(951428.545 6463958.574)","0101000020110F0000713D0A1709092D417F6ABCA475A85841",2,1527,11,2.9,2.1,2.73,0.70,0.94,0.82,2,3,"not very attractive with all the shops|no greenery|ugly;dull|a little run down; not extremely well looked after|So tight street, bad parking plan|Streamlined buildings; some variety; good upkeep. |inside the ally","looks like it will be dark and not busy at night|wide footpaths, wide road|busy;shops|busy; people around; a little run down|Narrow street; parked cars; few people; lack of light.",11,5,5,3.00,2.80,2.75,3.50,NULL,8,2,0
"POINT(951453.537 6463976.961)","0101000020110F0000FCA9F1123B092D412506813D7AA85841",2,1526,10,3.4,2.8,3.38,0.92,0.71,0.63,3,2,"There s more shops than at the last point. |Busy street","Everything is clean. |Proximity to stores",8,4,4,3.50,3.25,3.14,5.00,NULL,7,1,0
"POINT(951403.26 6463940.627)","0101000020110F000052B81E85D6082D419CC4202871A85841",2,1528,12,3.4,2.5,3.31,0.77,0.78,0.92,3,3,"high buildings; constructions; noisy|Very unkempt and neglected looking part of the street|Next to modern building|Maybe the shop of klimatisier give me less attraction. |no greeness","bad aspect of buildings|Next to businesses|We can't think abour criminality in here. |tightness|open; busy",13,4,7,4.00,3.14,3.40,3.50,NULL,10,2,0
"POINT(951352.668 6463904.387)","0101000020110F00009318045671082D41A69BC41868A85841",2,1530,14,3.3,2.9,3.89,0.71,0.78,0.44,2,2,"It doesn't look very chic|nice buildings|road|shops are boring|dense buildings|Shopping opportunity","The place doesn't scare me |a lot of cars|open|bikes are locked |zebra crossings; footpaths; one way|Busy street",9,4,5,3.50,3.20,3.43,3.00,NULL,7,2,0
"POINT(951301.293 6463868.533)","0101000020110F0000931804960A082D4108AC1C225FA85841",2,1532,17,3.9,3.4,3.86,0.90,0.79,0.43,2,2,"Church; open businesses; mostly clean buildings; rubbish on pavement.|spacious; nicer buildings","Roadworks; rubbish on the street; open businesses; few people.|The area looks quite|open; busy",7,3,4,4.67,3.25,3.75,4.00,NULL,4,3,0
"POINT(951327.026 6463886.012)","0101000020110F00003BDF4F0D3E082D41A69BC48063A85841",2,1531,16,3.7,3.1,3.73,0.82,0.70,0.60,2,2,"many cars, busy road, ugly shop fronts|shops|junction;architecture|Buildings look a bit neglected, not enough trees|Shopping opportunity|lots of shops|Good architecture|This part looks old. ","high street, town centre, many businesses|zebra cross|clean;lively|Looks like a regular city street but I would feel uncomfortable at night|Proximity to stores|medium traffic|Planning, desing|Nothing really disturb me|center of the city; big streets; clean; shops",15,7,8,3.86,3.50,3.62,4.00,NULL,13,2,0
"POINT(951341.971 6463886.072)","0101000020110F000079E926F15B082D41E3A59B8463A85841",2,1536,15,3.3,3.1,3.50,0.79,0.85,0.25,3,3,"lot's of bikes; trash|dull; lots of roads|grey neighbourhood ; no trees|untidy|building are well maintained|Dull and grey crossovers. |Church; different colours; open space; clean streets; open businesses.|many businesses; parking spots|church, cute houses","little social control; faded trafic markings; |It looks to be quite|other people; vehicles; space|small streets|busy junction|Seems like a nice neighbourhood with no concerns|no stop-lights. No crosswalks and very bad sight|Street crossings; public transport; open businesses; open space; Church|busy street; pedestrians|busy street, many shops",16,4,10,3.25,3.50,3.18,3.75,NULL,11,4,0
"POINT(951377.666 6463922.81)","0101000020110F0000B6F3FD54A3082D413D0AD7B36CA85841",2,1529,13,3.3,3.1,3.45,0.65,0.94,0.18,2,2,"a lot of bussinesses|restaurant|lively place|Boarded up shop; dull colours; narrow street; church and landmark at the end.|a lot of people, other shops close|nice stores and businesses ","big sidewalks, cars|work center|medium traffic|Public transport; bus stop; narrow street; parked cars; some people sitting.|big street, grey buildings|looks like there's always people",11,3,7,3.67,3.14,3.25,3.50,NULL,8,2,0
"POINT(961270.363 6464035.585)","0101000020110F0000D122DBB9EC552D41D7A370E588A85841",10,1803,12,3.5,3.3,3.08,0.88,0.75,0.15,3,3,"pretty |neutral|neutral|grafiti; nice buildings|Not very attractive|architecture is too simple|Leaves; trees; residential.|road is very narrow |open space, nice architecture, parking available|there are coloured buildings near by","family place|one way road|one way road|quiet;|Seems safe|good infrastructure  |Good parking; speed limit; pavement.|road is very narrow|wide pavement|it is in town",13,2,9,3.50,3.44,3.40,4.00,NULL,10,2,0
"POINT(961265.673 6464066.481)","0101000020110F0000BC749358E3552D4139B4C89E90A85841",10,1804,13,3.4,3.0,2.55,0.92,0.63,0.36,3,2,"ugly; fences|Lots of greenery,  less graffiti|suburbs; neat place;","residential; quiet; nowhere to seek safety|residential area, buildings look clean|openess; houses are not really high;",11,2,6,3.50,3.17,3.13,4.00,NULL,8,1,0
"POINT(961261.142 6464097.349)","0101000020110F00005839B448DA552D411904565698A85841",10,1805,14,3.3,2.7,2.23,0.95,0.75,0.62,3,3,"For living must be good|For living must be good|White building; church; leaves; trees.|colored buildings; old|Not very much attractive|not a nice place|road is too narrow|pretty|architecture is too simple ","It's pretty quiet around|It's pretty quiet around|Church; residential; clean.|Lots of people around you|Seems safe|does not seem to be near much|road is too narrow|dangerous at night|good infrastructure  ",13,6,5,3.67,2.80,3.18,4.00,NULL,11,1,0
"POINT(961256.64 6464128.189)","0101000020110F00007B14AE47D1552D417593180CA0A85841",10,1806,15,3.1,2.5,2.25,0.90,0.90,0.58,3,3,"greenery, nice buildings|bins; bollards|not a nice place","wide pavement|quiet; not public|does not seem to be near much",12,4,5,3.50,2.60,3.00,3.00,NULL,8,2,0
